Longitude,Latitude,Scientific.Name,Source
-170.835181,-14.312552,Isopora crateriformis,CRAG
-170.83302,-14.326555,Isopora crateriformis,CRAG
-170.808356,-14.328897,Isopora crateriformis,CRAG
-170.793001,-14.336857,Isopora crateriformis,CRAG
-170.789572,-14.341511,Isopora crateriformis,CRAG
-170.7887206,-14.342562,Isopora crateriformis,CRAG
-170.762139,-14.364022,Isopora crateriformis,CRAG
-170.759657,-14.289572,Isopora crateriformis,CRAG
-170.657893,-14.25124,Isopora crateriformis,CRAG
-170.653333,-14.290007,Isopora crateriformis,CRAG
-170.65275,-14.256019,Isopora crateriformis,CRAG
-170.6378,-14.28218,Isopora crateriformis,CRAG
-170.637769,-14.282175,Isopora crateriformis,CRAG
-170.62711,-14.255733,Isopora crateriformis,CRAG
-170.621867,-14.273633,Isopora crateriformis,CRAG
-170.612441,-14.272138,Isopora crateriformis,CRAG
-170.607639,-14.276775,Isopora crateriformis,CRAG
-170.588698,-14.258177,Isopora crateriformis,CRAG
-170.582883,-14.275625,Isopora crateriformis,CRAG
-170.563628,-14.28465,Isopora crateriformis,CRAG
